"","UI","UI.glmm","UI.GLM","AI","AI.glmm","AI.GLM","mixed.sd"
"ENSG00000179284",-0.371759988034999,-0.37176054016087,-0.371759745369598,0.0290029515199571,0.0290023989258665,0.0290032295174575,7.30769230769233e-08
"ENSG00000179295",-0.00044473589633974,-0.000444682088016205,-0.000444682036299015,0.293822894944243,0.293822952278989,0.293822952275974,0
"ENSG00000179299",-0.230690803861174,-0.23069073339375,-0.230690730018823,0.128040764869501,0.12804086604931,0.128040865940009,0
"ENSG00000179304",-0.213534813423421,-0.213534676934862,-0.213534677763148,0.14693879699898,0.146938962871387,0.146938960857692,0
"ENSG00000179314",0.0652921477168083,0.069978102288551,0.0652924101535618,0.677965066451819,0.68088949264759,0.677965370228127,0.0409808218738061
"ENSG00000179331",-0.374154116937606,-0.374154478828728,-0.374154332551096,-0.892975173940148,-0.892975672541969,-0.892975495681799,0
"ENSG00000179335",-0.0566646571463276,-0.0566646186380288,-0.0566646186275053,0.132359723972873,0.132359765099528,0.132359765100137,3.8251121076233e-07
"ENSG00000179344",0.0992152929216732,0.0376599153392849,0.0992150851832813,-2.4517489437024,-2.48723548731645,-2.45174957807375,0.230706846861042
"ENSG00000179348",-0.31280659321369,-0.303650384671552,-0.312806521030971,0.0267121170610896,0.0171836703833827,0.0267122067283947,0.0897542465265101
"ENSG00000179361",0.244087659084727,0.244523463056695,0.244087748615427,-0.0272387845308566,-0.0261692823707716,-0.027238701358347,0.0475269048757428
"ENSG00000179362",-0.553829292043266,-0.55382923709538,-0.553829236951182,-0.241808628117151,-0.241808552542828,-0.241808554232914,3.66972477064284e-09
"ENSG00000179364",0.0429318107844641,0.0444736628816225,0.0429318609320037,0.0399595690655563,0.0370037260957861,0.0399596201624033,0.0306325894977078
"ENSG00000179387",0.338575875620995,0.33857516012022,0.338576109731595,-0.361596475606922,-0.361597353464605,-0.361596294693988,0
"ENSG00000179388",-1.12280314524443,-1.20069631095879,-1.12280388539509,-2.22413485295979,-2.29055373652429,-2.22413595816601,0.231797636764491
"ENSG00000179399",-2.18098828366782,-2.1810010344065,-2.18100058257768,NA,-1.44570526204196,-1.44570598147834,0
"ENSG00000179403",-0.656904118965404,-0.656904109783552,-0.656904107822405,-0.604277138988523,-0.604277140495688,-0.604277138933116,2e-07
"ENSG00000179406",0.117304496907695,0.117304556736393,0.117304556896266,-0.196873832823736,-0.196873779255243,-0.196873779249801,0
"ENSG00000179409",-0.103599112450578,-0.103599039753427,-0.103599039714839,0.16564567319918,0.165645749649543,0.16564574965554,3.57021996615923e-08
"ENSG00000179428",-0.859141545398555,-0.859154493876642,-0.859154860866402,NA,-2.44895441318965,-2.44895445366997,0
"ENSG00000179431",-1.2402169139758,-1.23996949670756,-1.24021961974183,-1.54863115606365,-1.54868984807477,-1.54863432151961,0.0246560861143491
"ENSG00000179447",0.54398660749743,0.543987366269624,0.543987174535273,0.218852832244146,0.218853811091552,0.218852999417474,0
"ENSG00000179454",0.288374953908354,0.288375105389874,0.28837510520634,-0.0338479206027889,-0.0338479944592802,-0.0338479778077355,1.76954732510351e-08
"ENSG00000179455",-0.756856133255762,-0.75685605503848,-0.756856054707674,-0.429231542837257,-0.429226740553316,-0.429226970083736,0
"ENSG00000179456",-0.0324704657617877,-0.0324704420515538,-0.0324704420651651,-0.666925203023664,-0.66692518988412,-0.666925189897439,2e-07
"ENSG00000179476",0.0478497989937862,0.0478499805432648,0.0478499780528604,-0.293371250602557,-0.293370484661056,-0.293371261984433,0
"ENSG00000179477",-0.830078898268698,-0.830078453625248,-0.830078521126399,0.876918231577256,0.876919096206794,0.876919094321831,1.27790016566647e-08
"ENSG00000179520",0.0477607669827851,0.386794696421449,0.0477593755981809,-0.739502762415094,-0.0334658853905049,-0.739503487265392,0.562132611553924
"ENSG00000179523",0.146132081912029,0.146132315537385,0.146132325468141,0.629809680516251,0.629810142504211,0.629809964119803,2e-07
"ENSG00000179526",-0.191139853424655,-0.191139807567803,-0.191139807591071,-0.378582072836446,-0.378582028587303,-0.378582028700645,0
"ENSG00000179528",0.785400339872262,0.818642325611438,0.785401930694548,1.72270286849846,1.67517434504045,1.72270478787828,0.210689151955342
"ENSG00000179532",0.0843298514036677,0.0857665683537734,0.0843299383219813,-0.513554878761876,-0.512401680607029,-0.513554808833931,0.0229220324092068
"ENSG00000179542",1.83339213001393,1.82851519369769,1.8333928492859,-0.149925127905793,-0.151992146741178,-0.149924731855696,0.0622191223256676
"ENSG00000179546",-0.0987944551828288,-0.0514809811390176,-0.0987953565502773,-2.32581018548949,-2.21733238317974,-2.32581157498759,0.200247381086852
"ENSG00000179562",-0.752949588612511,-0.752914444241402,-0.75294953669718,0.104888299259381,0.0836267334217721,0.104888390903048,0.0920261724390583
"ENSG00000179564",-0.676004683590413,-0.676004515785914,-0.676004327139804,-0.628149763556879,-0.628149782174256,-0.6281499231621,0
"ENSG00000179577",-1.42138195429104,-1.42138241648783,-1.42138223118976,NA,-0.238573736155882,-0.238574407489742,0
"ENSG00000179583",0.178005461163538,0.178033628755452,0.178005468109541,-1.95248314116433,-1.96182378811891,-1.9524832737613,0.113280144715957
"ENSG00000179588",0.437752382980233,0.438903957669807,0.437752482332978,0.215051280478851,0.215961594586054,0.215051371403585,0.0313777364745974
"ENSG00000179593",-0.101846455837743,-0.219456637045663,-0.101846344722002,-0.178112099070328,-0.225663511729426,-0.178112058851533,0.358196896578217
"ENSG00000179598",-0.01504318916893,-0.00104289312093039,-0.0150432139430348,-0.29858597485215,-0.291289932722413,-0.298585932774835,0.0982130280310731
"ENSG00000179603",-2.3978036703334,-2.39780372299611,-2.39780426658093,-0.751304095943137,-0.751303424446613,-0.751304128308432,0
"ENSG00000179604",0.128626800640305,0.128626890026059,0.128626889999982,0.0684755555485046,0.0684756469369765,0.068475646920559,0
"ENSG00000179611",0.0398987944581479,0.0399004002437839,0.039900412618244,-0.648495751297489,-0.648489815870637,-0.648490298640055,0
"ENSG00000179615",0.190110804254182,0.190110093048754,0.190110318521364,0.451587086291179,0.451587254481869,0.451587260394136,1.08280254777076e-08
"ENSG00000179626",0.26900083068307,0.269000966206425,0.269000967019828,0.127735113475325,0.127735200295886,0.127735199638043,4.15335463258791e-09
"ENSG00000179627",-0.665052987401581,-0.665052966544248,-0.665052966542646,-0.343809725678776,-0.343809682646697,-0.343809683068867,0
