"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",4.79194444391057e-14,4.74033711877295e-14,4.71927720784463e-14,4.76461051880848e-14,4.76009999583117e-14,4.78562485445474e-14,4.72778618339535e-14,4.79680588391648e-14,4.73311813268156e-14,4.70930208962396e-14,4.70051799363882e-14,4.79219517543934e-14,4.72841110161209e-14,4.77113378777656e-14,4.737403393915e-14
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.00305102237022152,0.00301326783771284,0.0030110284430007,0.00301110198573956,0.0030000897201226,0.00304152687311146,0.00299286461505661,0.00305751812112065,0.00300108452296019,0.00299837302736049,0.0029884439841355,0.00305184982410152,0.00301417494925699,0.0030223797899417,0.0030433839105775
"5",0.0906162426008342,0.090054127379938,0.0920118492119854,0.0899806193777826,0.0894418351056994,0.0904499000091323,0.0903137301600731,0.0906691449723685,0.0899988989086325,0.091487824891268,0.091444847651329,0.0906633862678909,0.0916451904011195,0.0902981380146259,0.0917458614268761
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.0288856421035208,0.0289177673689621,0.0286359742772169,0.02878085837541,0.0287726956984572,0.0288618596559866,0.0288903577129145,0.028905514493489,0.0287245189115108,0.0288054079657809,0.0287766591767248,0.0288857246969406,0.0288158252166439,0.0288023643920552,0.0289012085427477
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
